Name,CMP,PE,Market Cap,Dividend Yield,Net Profit Last Quarter,Quaterly Profit Growth,Sales Latest Quarter,Quaterly Sales Growth,Return on Campital Employment
Dixon Technolog.,14776.10,157.70,88415.15,0.03,411.70,119.30,11534.08,133.33,29.16
Voltas,1708.60,102.77,56534.97,0.32,132.83,272.59,2619.11,14.23,8.51
Blue Star,1808.45,70.84,37184.41,0.39,96.06,35.93,2275.96,20.40,25.51
Kaynes Tech,5538.15,190.01,35450.12,0.00,62.57,146.24,432.84,48.46,11.22
Crompton Gr. Con,371.05,48.20,23882.63,0.81,128.07,28.47,1896.01,6.38,15.82
Whirlpool India,1802.95,72.79,22874.03,0.28,53.53,42.21,1712.99,12.58,9.07
Amber Enterp.,6119.55,111.24,20669.58,0.00,20.96,440.71,1684.70,81.73,10.18
PG Electroplast,628.75,85.79,16450.27,0.03,19.33,56.27,671.30,45.80,18.72
Genus Power,405.60,84.51,12324.41,0.15,83.08,68.90,486.88,88.01,11.34
TTK Prestige,854.95,55.89,11850.81,0.70,52.25,-11.50,750.06,2.82,14.55
Havells India,1618.85,71.99,101492.46,0.56,267.77,7.50,4539.31,16.38,24.40
Eureka Forbes,594.80,88.25,11502.90,0.00,46.67,74.72,672.87,13.60,3.46
Symphony,1440.95,42.65,9936.36,0.90,56.00,60.00,315.00,14.55,18.84
Bajaj Electrical,782.30,83.75,9018.15,0.38,12.90,-59.28,1118.33,0.50,12.73
Sheela Foam,802.15,89.60,8719.16,0.00,9.32,-78.80,812.72,32.54,7.97
Titan Company,3183.70,87.16,282644.48,0.35,704.00,-23.06,14534.00,16.00,22.70
Kalyan Jewellers,653.90,107.76,67432.28,0.18,130.33,-3.37,6065.48,37.40,14.04
P N Gadgil Jewe.,688.55,60.60,9344.20,0.00,32.39,50.44,2001.53,47.32,30.82
Senco Gold,1078.30,38.37,8380.81,0.19,16.83,40.02,1458.68,27.46,13.82
Rajesh Exports,235.50,182.84,6953.37,0.00,11.86,-96.17,60355.50,-29.56,3.23
PC Jeweller,144.59,439.25,6729.27,0.00,178.88,229.50,504.97,12.42,-1.74
Thangamayil Jew.,1883.55,54.20,5168.30,0.53,-17.44,-307.87,1181.05,18.88,20.29
Sky Gold,3257.10,59.31,4772.96,0.00,36.71,404.95,768.85,94.17,18.70
Vaibhav Global,269.55,34.76,4477.61,2.23,27.77,-4.34,796.43,12.97,14.05
Goldiam Intl.,312.50,35.38,3337.35,0.38,22.13,-5.35,136.98,2.67,19.79
CRISIL,5190.60,56.70,37958.68,1.04,171.55,12.87,811.84,10.32,41.36
Motisons Jewel,26.85,69.74,2643.28,0.00,10.40,78.39,109.34,21.30,16.65
Renaiss. Global,176.77,11.02,1699.80,0.00,11.24,771.05,411.60,-6.87,8.25
T B Z,228.40,24.17,1524.13,0.77,11.97,32.85,567.05,17.99,10.88
Asian Star Co.,784.15,17.16,1255.42,0.19,18.99,10.75,654.00,-29.03,6.17
Radhika Jeweltec,102.22,23.74,1206.20,0.20,10.58,23.45,131.48,23.35,24.58
DCM Shriram,1302.25,38.94,20307.59,0.51,62.92,95.16,2957.33,9.21,8.99
Swan Energy,510.95,48.25,16016.08,0.02,67.13,-39.37,1032.19,-15.62,8.25
Nava,897.30,12.21,13019.88,0.45,331.97,68.70,900.48,-2.33,16.27
Quess Corp,637.15,26.04,9469.69,1.57,93.63,28.04,5179.36,9.08,11.74
Balmer Lawrie,215.82,14.03,3690.61,3.94,61.10,-2.30,638.91,9.10,15.62
TTK Healthcare,1419.60,31.00,2005.94,0.70,17.20,7.43,198.49,6.85,8.67
Andrew Yule & Co,38.03,,1859.48,0.00,14.83,384.25,89.42,1.63,-12.30
BCL Industries,52.78,14.98,1557.87,0.47,29.86,53.95,721.28,50.04,16.26
Empire Inds.,1003.20,14.22,601.92,2.49,9.81,21.71,163.41,6.44,15.42
Marico,592.25,48.29,76683.81,1.60,433.00,19.83,2664.00,7.59,43.08
3M India,32466.10,64.64,36589.29,0.49,133.78,-8.44,1110.80,6.86,33.04
Patanjali Foods,1843.80,67.10,66744.61,0.43,308.97,21.38,8154.19,4.25,11.14
Adani Wilmar,331.05,40.86,43025.86,0.00,325.73,954.26,13994.39,19.41,10.41
Gokul Agro,318.40,23.23,4697.78,0.00,71.48,111.54,4812.49,16.84,23.37
CIAN Agro,311.00,207.72,870.36,0.00,-0.03,-105.88,125.01,452.41,11.00
Kriti Nutrients,117.10,12.54,586.71,0.26,9.56,-1.95,173.55,30.04,34.28
Gokul Refoils,57.86,49.55,572.79,0.00,5.14,-60.43,855.97,-7.71,7.42
Modi Naturals,423.00,33.96,553.91,0.00,7.58,897.37,146.56,59.55,2.56
Shri Venkatesh,160.00,23.33,353.91,0.62,3.60,4.35,165.27,8.13,16.62
Ajanta Soya,39.95,18.84,321.53,0.00,7.92,571.19,303.89,11.84,5.68
KN Agri Resource,266.00,19.95,664.97,0.00,14.35,,754.06,18.39,14.09
M K Proteins,8.17,24.48,306.68,0.00,1.74,324.39,33.69,146.99,18.73
Vijay Solvex,937.70,38.35,300.30,0.00,6.13,3305.56,431.82,-9.24,1.42
Ramdevbaba Sol.,120.90,17.18,267.50,0.00,8.06,,401.72,36.30,16.59
Raj Oil Mills,48.61,99.81,145.72,0.00,1.08,285.71,30.49,-3.02,10.43
PVR Inox,1461.55,,14352.42,0.00,-12.10,-107.10,1622.10,-18.89,4.69
Tips Music,924.50,77.68,11818.03,0.65,48.16,21.46,80.61,32.43,103.80
Zee Entertainmen,115.54,25.94,11097.84,0.87,209.40,13.77,2000.70,-17.93,6.26
Saregama India,488.40,50.18,9426.58,0.82,44.95,-6.44,241.83,40.31,19.60
TV18 Broadcast,45.27,,7760.91,0.00,-120.03,-212.99,3069.32,-3.36,0.12
Wonderla Holiday,829.95,34.04,4695.30,0.30,14.72,8.88,67.38,-10.35,19.76
Sri Adhik. Bros.,1617.45,,4103.96,0.00,-0.09,98.34,1.27,,
Prime Focus,130.50,,3913.79,0.00,50.41,115.13,897.04,-12.59,-0.72
Imagica. Enter.,70.61,48.26,3829.32,0.00,-6.59,46.78,39.97,11.52,3.04
Media Matrix,19.00,362.94,2152.21,0.00,2.05,28.45,1125.60,76.89,5.57
Sun TV Network,730.75,15.67,28797.73,2.29,409.32,-11.93,934.54,-10.86,26.20
Dish TV India,11.29,,2078.81,0.00,-37.38,-790.94,395.62,-17.43,
Den Networks,43.50,9.47,2075.92,0.00,51.65,13.27,249.08,-9.95,7.30
Panorama Studios,238.05,46.27,1633.35,0.08,2.40,3.90,35.59,-49.91,47.37
GTPL Hathway,142.61,25.09,1603.84,2.80,13.74,-62.65,855.56,9.80,12.02
Coromandel Inter,1715.95,37.25,50540.14,0.35,659.10,-12.65,7432.83,6.36,25.98
Chambal Fert.,469.85,12.22,18824.65,1.60,536.36,40.79,4346.18,-19.30,20.21
R C F,155.94,46.47,8603.05,0.80,78.96,54.73,4289.56,3.23,6.16
