Name,CMP,PE,Market Cap,Dividend Yield,Net Profit Last Quarter,Quaterly Profit Growth,Sales Latest Quarter,Quaterly Sales Growth,Return on Campital Employment
BEML Ltd,3791.2,55.28,15786.56,0.54,51.03,-1.47,859.84,-6.21,15.25
Data Pattern,2166.65,65.52,12129.77,0.3,30.28,-10.39,91.02,-15.96,19.71
Astra Microwave,752.05,54.77,7140.34,0.27,25.39,-15.42,229.61,20.77,18.77
Embassy Off.REIT,380.07,16.21,36026.6,3.0,1530.36,606.31,1025.81,10.76,5.41
Mishra Dhatu Nig,320.3,68.55,6000.5,0.44,23.55,70.04,262.12,15.22,9.44
MTAR Technologie,1572.25,124.16,4836.18,0.0,18.78,-9.84,190.18,14.07,11.38
Paras Defence,980.6,93.48,3951.2,0.0,12.7,44.98,87.09,42.05,10.32
Century Plyboard,748.65,75.12,16632.98,0.13,39.98,-58.74,1183.62,18.74,18.01
Greenlam Industr,517.2,54.81,6598.12,0.32,34.45,-11.6,680.81,12.78,12.08
Greenply Industr,323.75,39.63,4006.31,0.15,17.57,-6.44,640.48,12.82,10.68
Stylam Industrie,2230.15,28.6,3779.67,0.11,34.1,7.44,262.7,12.29,33.7
Rushil Decor,32.12,19.62,868.74,0.31,11.6,9.95,228.63,11.74,11.87
Duroply Indust.,255.95,87.05,252.45,0.0,0.5,-23.08,90.81,9.03,6.08
BSE,4547.8,74.79,61566.46,0.33,345.77,192.01,813.3,124.66,19.97
C D S L,1472.75,57.77,30780.48,0.65,161.96,48.79,322.26,55.45,40.18
Multi Comm. Exc.,5950.65,87.44,30348.32,0.13,153.62,905.56,285.58,72.96,7.15
Cams Services,4581.95,56.51,22581.2,1.01,115.22,41.58,341.9,34.09,49.77
Greenpanel Inds.,341.95,46.13,4193.24,0.44,18.5,-54.61,336.87,-15.5,12.8
